File_Name,Rule_ID,Level,Match,Description,Groups,MITRE_ID,If_Sid,If_Matched_Sid,Frequency,Timeframe,Ignore
0015-ossec_rules.xml,554,5,,File added to the system.,"syscheck,syscheck_entry_added,syscheck_file,pci_dss_11.5,gpg13_4.11,gdpr_II_5.1.f,hipaa_164.312.c.1,hipaa_164.312.c.2,nist_800_53_SI.7,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",,,,,,
0015-ossec_rules.xml,555,7,^ossec: agentless: ,Integrity checksum for agentless device changed.,"syscheck,agentless,pci_dss_11.5,pci_dss_10.6.1,gpg13_4.11,gdpr_II_5.1.f,gdpr_IV_35.7.d,hipaa_164.312.c.1,hipaa_164.312.c.2,hipaa_164.312.b,nist_800_53_SI.7,nist_800_53_AU.6,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",,500,,,,
0015-ossec_rules.xml,560,7,^ossec: Real-time inotify kernel queue is full.,FIM real-time queue is full. Some real-time events may be lost.,"syscheck,agentless,pci_dss_11.5,pci_dss_10.6.1,gpg13_4.11,gdpr_II_5.1.f,gdpr_IV_35.7.d,hipaa_164.312.c.1,hipaa_164.312.c.2,hipaa_164.312.b,nist_800_53_SI.7,nist_800_53_AU.6,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",,500,,,,
0015-ossec_rules.xml,580,8,,Host information changed.,"hostinfo,pci_dss_10.2.7,gpg13_4.13,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.14,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",,,,,,
0015-ossec_rules.xml,581,8,,Host information added.,"hostinfo,pci_dss_10.2.7,gpg13_4.13,hipaa_164.312.b,nist_800_53_AU.14,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",,,,,,
0015-ossec_rules.xml,591,3,^ossec: File rotated ,Log file rotated.,"pci_dss_10.5.2,pci_dss_10.5.5,gpg13_10.1,gdpr_II_5.1.f,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.9,tsc_CC6.1,tsc_CC7.2,tsc_CC7.3,tsc_PI1.4,tsc_PI1.5,tsc_CC7.1,tsc_CC8.1,",,500,,,,
0015-ossec_rules.xml,592,8,^ossec: File size reduced,Log file size reduced.,"attacks,pci_dss_10.5.2,pci_dss_11.4,gpg13_10.1,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.9,nist_800_53_SI.4,tsc_CC6.1,tsc_CC7.2,tsc_CC7.3,tsc_CC6.8,",T1565.001,500,,,,
0015-ossec_rules.xml,593,9,^ossec: Event log cleared,Microsoft Event log cleared.,"logs_cleared,pci_dss_10.5.2,gpg13_10.1,gdpr_II_5.1.f,gdpr_IV_35.7.d,hipaa_164.312.b,nist_800_53_AU.9,tsc_CC6.1,tsc_CC7.2,tsc_CC7.3,",T1070,500,,,,
0015-ossec_rules.xml,594,5,,Registry Key Integrity Checksum Changed,"syscheck,syscheck_entry_modified,syscheck_registry,pci_dss_11.5,gpg13_4.13,gdpr_II_5.1.f,hipaa_164.312.c.1,hipaa_164.312.c.2,nist_800_53_SI.7,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,","T1565.001,T1112",,,,,
0015-ossec_rules.xml,597,5,,Registry Key Entry Deleted.,"syscheck,syscheck_entry_deleted,syscheck_registry,pci_dss_11.5,gpg13_4.13,gdpr_II_5.1.f,hipaa_164.312.c.1,hipaa_164.312.c.2,nist_800_53_SI.7,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,","T1070.004,T1485,T1112",,,,,
0015-ossec_rules.xml,598,5,,Registry Key Entry Added to the System,"syscheck,syscheck_entry_added,syscheck_registry,pci_dss_11.5,gpg13_4.13,gdpr_II_5.1.f,hipaa_164.312.c.1,hipaa_164.312.c.2,nist_800_53_SI.7,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",T1112,,,,,
0015-ossec_rules.xml,600,0,,Active Response Messages Grouped,"active_response,",,,,,,
0015-ossec_rules.xml,601,3,,Host Blocked by firewall-drop Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,600,,,,
0015-ossec_rules.xml,602,3,,Host Unblocked by firewall-drop Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,600,,,,
0015-ossec_rules.xml,603,3,,Host Blocked by host-deny Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,600,,,,
0015-ossec_rules.xml,604,3,,Host Unblocked by host-deny Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,600,,,,
0015-ossec_rules.xml,605,3,,Host Blocked by $(script) Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,600,,,,
0015-ossec_rules.xml,606,3,,Host Unblocked by $(script) Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,600,,,,
0015-ossec_rules.xml,607,3,,Active response: $(script) - $(type),"active_response,pci_dss_11.4,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,600,,,,
0015-ossec_rules.xml,650,0,,Active Response JSON Messages Grouped,"active_response,",,,,,,
0015-ossec_rules.xml,651,3,,Host Blocked by firewall-drop Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,650,,,,
0015-ossec_rules.xml,652,3,,Host Unblocked by firewall-drop Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,650,,,,
0015-ossec_rules.xml,653,3,,Host Blocked by host-deny Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,650,,,,
0015-ossec_rules.xml,654,3,,Host Unblocked by host-deny Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,650,,,,
0015-ossec_rules.xml,655,3,,Host Blocked by route-null Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,650,,,,
0015-ossec_rules.xml,656,3,,Host Unblocked by route-null Active Response,"active_response,pci_dss_11.4,gpg13_4.13,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,650,,,,
0015-ossec_rules.xml,657,3,,Active response: $(parameters.program) - $(command),"active_response,pci_dss_11.4,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,650,,,,
0015-ossec_rules.xml,658,5,,"Active response related to $(script) has been activated, but may not have an effect because the firewall is $(status)","active_response,pci_dss_11.4,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,tsc_CC7.4,",,650,,,,
0015-ossec_rules.xml,700,0,,Logcollector Messages Grouped,,,,,,,
0015-ossec_rules.xml,701,0,INFO: ,Ignore informational messages (usually at startup),,,700,,,,
0015-ossec_rules.xml,750,5,,Registry Value Integrity Checksum Changed,"syscheck,syscheck_entry_modified,syscheck_registry,pci_dss_11.5,gpg13_4.13,gdpr_II_5.1.f,hipaa_164.312.c.1,hipaa_164.312.c.2,nist_800_53_SI.7,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,","T1565.001,T1112",,,,,
0015-ossec_rules.xml,751,5,,Registry Value Entry Deleted.,"syscheck,syscheck_entry_deleted,syscheck_registry,pci_dss_11.5,gpg13_4.13,gdpr_II_5.1.f,hipaa_164.312.c.1,hipaa_164.312.c.2,nist_800_53_SI.7,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,","T1070.004,T1485,T1112",,,,,
0015-ossec_rules.xml,752,5,,Registry Value Entry Added to the System,"syscheck,syscheck_entry_added,syscheck_registry,pci_dss_11.5,gpg13_4.13,gdpr_II_5.1.f,hipaa_164.312.c.1,hipaa_164.312.c.2,nist_800_53_SI.7,tsc_PI1.4,tsc_PI1.5,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",T1112,,,,,
0016-wazuh_rules.xml,200,0,,Grouping of wazuh rules.,,,,,,,
0016-wazuh_rules.xml,201,0,^wazuh: Agent buffer: ,Agent event queue rule,"agent_flooding,",,200,,,,
0016-wazuh_rules.xml,202,7,,Agent event queue is $(level) full.,"agent_flooding,pci_dss_10.6.1,gdpr_IV_35.7.d,",,201,,,,
0016-wazuh_rules.xml,203,9,,Agent event queue is full. Events may be lost.,"agent_flooding,pci_dss_10.6.1,gdpr_IV_35.7.d,",,201,,,,
0016-wazuh_rules.xml,204,12,,Agent event queue is flooded. Check the agent configuration.,"agent_flooding,pci_dss_10.6.1,gdpr_IV_35.7.d,",,201,,,,
0016-wazuh_rules.xml,205,3,,Agent event queue is back to normal load.,"agent_flooding,",,201,,,,
0016-wazuh_rules.xml,210,0,Upgrade procedure,Remote upgrade alert,"upgrade,",,200,,,,
0016-wazuh_rules.xml,211,0,Custom installation,Remote installation alert,"upgrade,",,200,,,,
0016-wazuh_rules.xml,212,3,,Remote upgrade started.,"upgrade,",,210,,,,
0016-wazuh_rules.xml,213,7,,Remote upgrade could not be launched. Error: $(error).,"upgrade,upgrade_failure,",,210,,,,
0016-wazuh_rules.xml,214,3,,Remote upgrade finished successfully.,"upgrade,upgrade_success,",,210,,,,
0016-wazuh_rules.xml,215,6,,Remote upgrade failed. Agent restored to previous version.,"upgrade,upgrade_failure,",,210,,,,
0016-wazuh_rules.xml,216,7,,Remote upgrade failed. Agent disconnected.,"upgrade,upgrade_failure,",,210,,,,
0016-wazuh_rules.xml,217,3,,Custom installation started.,"upgrade,",,211,,,,
0016-wazuh_rules.xml,218,7,,Custom installation could not be launched. Error: $(error).,"upgrade,upgrade_failure,",,211,,,,
0016-wazuh_rules.xml,220,7,^wazuh: Invalid remote configuration: ,The agent could not restart due to a $(module) failure in the remote configuration,"agent_restarting,configuration_failure,",,200,,,,
0016-wazuh_rules.xml,221,0,,Syscollector event.,,,,,,,
0016-wazuh_rules.xml,222,7,^wazuh: Could not unmerge shared file.,The agent could not restart due to a error while unmerging files.,"agent_restarting,configuration_failure,",,200,,,,
0016-wazuh_rules.xml,230,0,^wazuh: FIM DB: ,FIM DB rule,"syscheck,fim_db_state,",,200,,,,
0016-wazuh_rules.xml,231,7,,The maximum limit of files monitored is close to being reached. At this moment there are $(file_count) files and the limit is $(file_limit). If the limit is reached some events can be lost. You can modify this setting in the centralized configuration or locally in the agent.,"syscheck,fim_db_state,gdpr_IV_35.7.d,",,230,,,,
0016-wazuh_rules.xml,232,9,,The maximum limit of files monitored is close to being reached. At this moment there are $(file_count) files and the limit is $(file_limit). If the limit is reached some events can be lost. You can modify this setting in the centralized configuration or locally in the agent.,"syscheck,fim_db_state,gdpr_IV_35.7.d,",,230,,,,
0016-wazuh_rules.xml,233,12,,The maximum limit of files monitored has been reached. At this moment there are $(file_count) files and the limit is $(file_limit). From this moment some events can be lost. You can modify this setting in the centralized configuration or locally in the agent.,"syscheck,fim_db_state,gdpr_IV_35.7.d,",,230,,,,
0016-wazuh_rules.xml,234,3,,At this moment there are $(file_count) files monitored and the limit is $(file_limit).,"syscheck,fim_db_state,",,230,,,,
0016-wazuh_rules.xml,235,7,,The maximum limit of registry keys monitored is close to being reached. At this moment there are $(keys_count) registry values and the limit is $(registry_limit). If the limit is reached some events can be lost. You can modify this setting in the centralized configuration or locally in the agent.,"syscheck,fim_db_state,gdpr_IV_35.7.d,",,230,,,,
0016-wazuh_rules.xml,236,9,,The maximum limit of registry keys monitored is close to being reached. At this moment there are $(keys_count) registry values and the limit is $(registry_limit). If the limit is reached some events can be lost. You can modify this setting in the centralized configuration or locally in the agent.,"syscheck,fim_db_state,gdpr_IV_35.7.d,",,230,,,,
0016-wazuh_rules.xml,237,12,,The maximum limit of registry keys monitored has been reached. At this moment there are $(keys_count) registry values and the limit is $(registry_limit). From this moment some events can be lost. You can modify this setting in the centralized configuration or locally in the agent.,"syscheck,fim_db_state,gdpr_IV_35.7.d,",,230,,,,
0016-wazuh_rules.xml,238,3,,At this moment there are $(keys_count) registry keys monitored and the limit is $(registry_limit).,"syscheck,fim_db_state,",,230,,,,
0016-wazuh_rules.xml,239,7,,The maximum limit of registry values monitored is close to being reached. At this moment there are $(values_count) registry values and the limit is $(registry_limit). If the limit is reached some events can be lost. You can modify this setting in the centralized configuration or locally in the agent.,"syscheck,fim_db_state,gdpr_IV_35.7.d,",,230,,,,
0016-wazuh_rules.xml,240,9,,The maximum limit of registry values monitored is close to being reached. At this moment there are $(values_count) registry values and the limit is $(registry_limit). If the limit is reached some events can be lost. You can modify this setting in the centralized configuration or locally in the agent.,"syscheck,fim_db_state,gdpr_IV_35.7.d,",,230,,,,
0016-wazuh_rules.xml,241,12,,The maximum limit of registry values monitored has been reached. At this moment there are $(values_count) registry values and the limit is $(registry_limit). From this moment some events can be lost. You can modify this setting in the centralized configuration or locally in the agent.,"syscheck,fim_db_state,gdpr_IV_35.7.d,",,230,,,,
0016-wazuh_rules.xml,242,3,,At this moment there are $(values_count) registry values monitored and the limit is $(registry_limit).,"syscheck,fim_db_state,",,230,,,,
0017-wazuh-api_rules.xml,400,0,,Rules for Wazuh API events.,,,,,,,
0017-wazuh-api_rules.xml,401,3,,Wazuh API: Informative event.,,,400,,,,
0017-wazuh-api_rules.xml,402,5,,Wazuh API: Warning event.,gpg13_4.12,,400,,,,
0017-wazuh-api_rules.xml,403,8,,Wazuh API: Error event.,"gpg13_4.3,gpg13_4.12",,400,,,,
0017-wazuh-api_rules.xml,404,12,,"Wazuh API: Critical Error event, requires inmediate atention.","gpg13_4.1,gpg13_4.3,gpg13_4.12,pci_dss_10.6.1,",,400,,,,
0017-wazuh-api_rules.xml,405,7,,Wazuh API: $(endpoint) response code returned error.,gpg13_4.3,,400,,,,
0017-wazuh-api_rules.xml,406,4,,Wazuh API: $(endpoint) Success.,,,400,,,,
0017-wazuh-api_rules.xml,407,5,,Wazuh API:$(endpoint) Success.,,,400,,,,
0017-wazuh-api_rules.xml,408,7,,Wazuh API: $(endpoint) Success.,"hipaa_164.312.a.2.I,hipaa_164.312.c.1,pci_dss_8.1.2,",,400,,,,
0017-wazuh-api_rules.xml,409,5,,Wazuh API: $(endpoint) Success.,hipaa_164.312.c.1,,400,,,,
0017-wazuh-api_rules.xml,410,4,,Wazuh API: $(endpoint) Bad request.,,,405,,,,
0017-wazuh-api_rules.xml,411,8,,Wazuh API: $(endpoint) Unauthorized.,"gpg13_4.3,tsc_cc6.8,hipaa_164.312.e.1",,405,,,,
0017-wazuh-api_rules.xml,412,7,,Wazuh API: $(endpoint) Permission denied.,"gpg13_4.3,hipaa_164.312.e.1,nist_800_53_AC.7,pci_dss_7.1,pci_dss_10.2.4,tsc_cc6.8,",,405,,,,
0017-wazuh-api_rules.xml,413,4,,Wazuh API: $(endpoint) Resource not found.,,,405,,,,
0017-wazuh-api_rules.xml,414,4,,Wazuh API: $(endpoint) Invalid HTTP method.,,,405,,,,
0017-wazuh-api_rules.xml,415,4,,Wazuh API: $(endpoint) Invalid content-type.,,,405,,,,
0017-wazuh-api_rules.xml,416,4,,Wazuh API: $(endpoint) Maximum request body size exceeded.,,,405,,,,
0017-wazuh-api_rules.xml,417,7,,Wazuh API: $(endpoint) Max number of requests per minute reached.,"gpg13_4.3,tsc_cc6.8,hipaa_164.312.e.1,nist_800_53_AC.7,pci_dss_7.1,pci_dss_8.1.6,pci_dss_10.2.4,",,405,,,,
0017-wazuh-api_rules.xml,418,4,,Wazuh API: $(endpoint) Internal error.,,,405,,,,
0017-wazuh-api_rules.xml,420,0,,Rules for Wazuh API events.,,,,,,,
0017-wazuh-api_rules.xml,421,3,,Wazuh API: Informative event.,"gpg13_3.3,gpg13_7.1,hipaa_164.312.a.1,nist_800_53_AC.7,nist_800_53_SC.5,pci_dss_1.3.2,pci_dss_6.5.10,pci_dss_7.1,pci_dss_8.1,tsc_cc6.1,",,420,,,,
0017-wazuh-api_rules.xml,422,5,,Wazuh API Warning event.,"gpg13_3.3,gpg13_4.12,gpg13_7.1,hipaa_164.312.a.1,nist_800_53_AC.7,nist_800_53_SC.5,pci_dss_1.3.2,pci_dss_6.5.10,pci_dss_7.1,pci_dss_8.1,tsc_cc6.1,",,420,,,,
0017-wazuh-api_rules.xml,423,8,,Wazuh API Error event.,"gpg13_3.3,gpg13_7.1,gpg13_4.12,gpg13_4.3,hipaa_164.312.a.1,nist_800_53_AC.7,nist_800_53_SC.5,pci_dss_1.3.2,pci_dss_6.5.10,pci_dss_7.1,pci_dss_8.1,tsc_cc6.1,",,420,,,,
0017-wazuh-api_rules.xml,424,12,,"Wazuh API Critical error event, requires inmediate atention.","gpg13_3.3,gpg13_7.1,gpg13_4.12,gpg13_4.3,hipaa_164.312.a.1,nist_800_53_AC.7,nist_800_53_SC.5,pci_dss_10.6.1,gpg13_4.1,pci_dss_1.3.2,pci_dss_6.5.10,pci_dss_7.1,pci_dss_8.1,tsc_cc6.1,",,420,,,,
0017-wazuh-api_rules.xml,425,7,,Authentication Attempt.,,,"400,410",,,,
0017-wazuh-api_rules.xml,426,4,,Wazuh API: Authentication success from $(srcip),"hipaa_164.312.d,pci_dss_8.2",,425,,,,
0017-wazuh-api_rules.xml,427,7,,Wazuh API: Authentication failure from $(srcip),"gpg13_3.3,hipaa_164.312.e.1,nist_800_53_AC.7,pci_dss_8.2",,425,,,,
0017-wazuh-api_rules.xml,428,10,IP blocked due to exceeded number of logins attempts,Wazuh API: Warning event - IP: $(srcip) blocked due to exceeded loging attemps.,"gpg13_3.3,hipaa_164.312.e.1,nist_800_53_AC.7,pci_dss_8.2",T1110,420,,,,
0025-sendmail_rules.xml,3100,0,,Grouping of the sendmail rules.,,,,,,,
0025-sendmail_rules.xml,3101,0,reject=,Grouping of the sendmail reject rules.,,,3100,,,,
0025-sendmail_rules.xml,3102,5,reject=451 4.1.8 ,sendmail: Sender domain does not have any valid ,"spam,pci_dss_11.4,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",T1114,3101,,,,
0025-sendmail_rules.xml,3103,6,reject=550 5.0.0 |reject=553 5.3.0,sendmail: Rejected by access list ,"spam,pci_dss_11.4,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",T1114,3101,,,,
0025-sendmail_rules.xml,3104,6,reject=550 5.7.1 ,sendmail: Attempt to use mail server as relay ,"spam,pci_dss_11.4,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",T1114,3101,,,,
0025-sendmail_rules.xml,3105,5,reject=553 5.1.8 ,sendmail: Sender domain is not found ,"spam,pci_dss_11.4,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",T1114,3101,,,,
0025-sendmail_rules.xml,3106,5,reject=553 5.5.4 ,sendmail: Sender address does not have domain ,"spam,pci_dss_11.4,gdpr_IV_35.7.d,nist_800_53_SI.4,tsc_CC6.1,tsc_CC6.8,tsc_CC7.2,tsc_CC7.3,",T1114,3101,,,,
0025-sendmail_rules.xml,3107,4,,sendmail: Sendmail rejected message.,,,3101,,,,
